SMILES
[Na+].c1c(C(c2c(cccc2)C(C)C(=O)[O-])C)cccc1
[Na+].c1cc(c(cc1)C(C)C([O-])=O)C(c1ccccc1)C
c1c(ccc(C(CCN(C)C)c2ccccc2)n1)Cl
C(C)(c1ccccc1C(C(=O)[O-])C)c1ccccc1.[Na+]
N(C)(C)C(NC(=N)N)=N
[C@H]1(O)CCC(/C(=C\C=C2/CCC[C@]3(C)[C@H](CC[C@@H]23)[C@@H](CCCC(C)C)C)C1)=C
C1[C@@H]([C@@H](O)[C@H](C)O[C@H]1O[C@H]1[C@@H](O[C@@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@H](OC([C@H]4[C@]5(O)/C(CO[C@@H]5[C@@H](C(C)=C4)O)=C/C=C/[C@@H]2C)=O)C[C@]2(O3)O[C@@H]([C@@H](C)CC2)[C@@H](C)CC)C[C@@H]1OC)C)OC.O([C@H]1[C@@H](C)/C=C/C=C2\CO[C@H]3[C@@]2([C@H](C(O[C@H]2C[C@@H](C/C=C/1C)O[C@]1(C2)CC[C@H](C)[C@@H](C(C)C)O1)=O)C=C(C)[C@H]3O)O)[C@@H]1O[C@H]([C@@H]([C@@H](OC)C1)O[C@@H]1O[C@H]([C@@H]([C@H](C1)OC)O)C)C
C(C)(NCC(O)c1ccc(Nc2ncccc2)cc1)C
c1c(cc(O)c(c1OC)C(C=Cc1ccccc1)=O)O
c1(c2c(nc([nH]1)SCc1ccccc1F)=CNC(OC)=C(OC)C=2)=O
c1c2c(C(c3c(C(C2)=O)scc3)=C2CCN(CC2)C)ccc1
O(C1C(C(O)C(C(O1)CO)O)OC1OC(C)C(C(C1O)O)O)c1cc(c2C(=O)CC(c3ccc(O)cc3)Oc2c1)O
N=C(NC(N)=N)N(C)C
c1(ccc(-n2c3c(nc2C)cncc3)cc1)C1NC(=C(C(Nc2ccccn2)=O)[C@@H](c2ccccc2Cl)C=1C(=O)OCC)C
OC(CC1(CC1)CS[C@@H](c1cccc(c1)/C=C/c1nc2cc(ccc2cc1)Cl)CCc1ccccc1C(O)(C)C)=O
c1cc(cc2c1c(NC(C)CCCN(CC)CC)ccn2)Cl
c1(NC(/C=C(C)/C=C/C=C(/C=C/C2C(C)(CCCC=2C)C)C)=O)ccc(O)cc1
C1[C@@H]2C[C@@H](C/C=C(/[C@H]([C@@H](C)/C=C/C=C3\CO[C@H]4[C@@]3([C@H](C(=O)O2)C=C(C)[C@H]4O)O)O[C@@H]2O[C@H]([C@@H]([C@H](C2)OC)O[C@H]2C[C@@H]([C@H]([C@@H](O2)C)O)OC)C)C)O[C@]12O[C@H](C(C)C)[C@@H](C)CC2.O([C@@H]1[C@@H](OC)C[C@H](O[C@@H]2/C(=C/C[C@H]3O[C@@]4(C[C@H](C3)OC([C@H]3[C@@]5(/C(=C/C=C/[C@@H]2C)CO[C@@H]5[C@@H](C(C)=C3)O)O)=O)O[C@@H]([C@H](CC4)C)[C@@H](C)CC)C)O[C@H]1C)[C@H]1C[C@@H]([C@@H](O)[C@@H](O1)C)OC
c1n([C@H]2[C@H](O)[C@H](O)[C@H](O2)CO)nc(C(=O)N)n1
c1(O)c(O)cc(c(c1O)O)[C@@H]1C[C@@H](O[C@H]2[C@H](O)[C@H](O[C@H](O)C2)N(C)C)[C@@H](O)[C@@H]([C@@H](O1)C)CC
N([C@@H]1[C@@H](N=C(N)N)C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)C(C)=O
C(C1OC(Oc2cc(O)c3C(CC(c4ccc(O)cc4)Oc3c2)=O)C(C(O)C1O)OC1C(O)C(C(C(C)O1)O)O)O
Oc1cc(cc(c1O)O)-c1oc2cc(cc(c2c(=O)c1O)O)O
c1cccc(c1F)CSc1nc2=CNC(OC)=C(OC)C=c2c(=O)[nH]1
Oc1cc(O)c2c(c1)oc(c(c2=O)O)-c1cc(c(c(c1)O)O)O
Oc1ccc(NC(C)=O)cc1
O=c1nc(ccn1[C@H]1[C@@H]([C@H](OC(=O)C(C)C)[C@@](COC(=O)C(C)C)(O1)N=[N+]=[N-])OC(C(C)C)=O)N
c12c(c(O)cc(c2)O)c(=O)c(c(o1)-c1cc(c(O)c(O)c1)O)O
c1(ccccc1)C=CC(=O)c1c(cc(cc1OC)O)O
COC1=C(NC=c2nc(SCc3c(cccc3)F)[nH]c(c2=C1)=O)OC
c1(ccc(O)cc1)-c1oc2c(c(O)cc(O)c2)c(c1O)=O
c12cc(O)cc(c2c(c(c(o1)-c1ccc(cc1)O)O)=O)O
c1(cccc(c1)C(=O)N(CC)CC)C
CN1CCN(CC1)c1c2ccc(cc2cnc1)Cl
Oc1cc(O)c(c2oc(cc(c12)=O)-c1ccc(O)cc1)-c1c(O)cc2c(c1O)c(cc(o2)-c1ccc(cc1)O)=O
c1(O)ccc(cc1)-c1c(O)c(=O)c2c(cc(O)cc2o1)O
C1(=O)NC2C(CSc3n(CC(=O)O)nnn3)C(N(C(=O)C=2C(C)C1N)C)=O
N(CC(c1ccc(Nc2ccccn2)cc1)O)C(C)C
n1ccccc1Nc1ccc(cc1)C(CNC(C)C)O
C(CN(C)C)C(c1ncc(Cl)cc1)c1ccccc1
